ALL2 Tag	ALL2 Category	ALL2 Sub category	ALL2 Expirience	ALL2 Job Interest	ALL2 Score	ALL2 Notes	SUGGESTED ACTION
Mobile Apps	Skill	General	52.0	66.0	118.0	Mobile Apps capability used in performance marketing, analytics, automation, reporting or operations.	ADD to All
Performance Marketing	Skill	General	58.0	74.0	132.0	Performance Marketing capability used in performance marketing, analytics, automation, reporting or operations.	ADD to All
Performance Media	Skill	General	51.0	62.0	113.0	Performance Media capability used in performance marketing, analytics, automation, reporting or operations.	ADD to All
SEM Lead	Skill	General	51.0	65.0	116.0	SEM Lead capability used in performance marketing, analytics, automation, reporting or operations.	ADD to All
Technical Product	Skill	General	51.0	64.0	115.0	Technical Product capability used in performance marketing, analytics, automation, reporting or operations.	ADD to All
UTM Governance	Skill	General	52.0	67.0	119.0	UTM Governance capability used in performance marketing, analytics, automation, reporting or operations.	ADD to All
Market Expansion	Skill	Growth Marketing	60.0	70.0	130.0	Analysis and execution of expansion into new markets, segments, regions or channels.	ADD to All
Healthcare IT	Skill	Healthcare IT	70.0	55.0	125.0	IT systems and implementation work in healthcare or pharmacy environments.	ADD to All
e-Recepti	Skill	Healthcare IT	70.0	45.0	115.0	Experience with healthcare e-prescription systems and related operational workflows.	ADD to All
IT Administration	Skill	IT Operations	75.0	60.0	135.0	Administration of IT systems, users, equipment and operational support processes.	ADD to All
IT Support	Skill	IT Operations	75.0	60.0	135.0	Technical support for users, departments, systems and everyday IT operations.	ADD to All
System Implementation	Skill	IT Operations	70.0	65.0	135.0	Implementation of new systems, tools and technical solutions inside organizations.	ADD to All
Systems Monitoring	Skill	IT Operations	70.0	65.0	135.0	Monitoring system stability, performance, health and operational signals.	ADD to All
Systems Support	Skill	IT Operations	70.0	60.0	130.0	Supporting, maintaining and troubleshooting operational systems and tools.	ADD to All
Telecom Support	Skill	IT Operations	70.0	50.0	120.0	Support for telecommunication systems, equipment and related operational issues.	ADD to All
English	Skill	Language	100.0	100.0	200.0	Professional and daily use of English in work, communication, documentation and reporting.	ADD to All
CEO	Skill	Leadership	80.0	75.0	155.0	Small-business leadership, decision-making, operational organization and ownership of outcomes.	ADD to All
Founder	Skill	Leadership	85.0	85.0	170.0	Founding and developing own business, digital, community or organizational projects.	ADD to All
Email Marketing	Skill	Lifecycle / Retention	60.0	65.0	125.0	Planning and optimizing email marketing communication, automation and lifecycle messages.	ADD to All
Lifecycle Marketing	Skill	Lifecycle / Retention	65.0	75.0	140.0	Marketing across the customer lifecycle including acquisition, activation, retention and reactivation.	ADD to All
SMS Marketing	Skill	Lifecycle / Retention	35.0	45.0	80.0	SMS marketing and lifecycle communication using short-message campaigns and automated flows.	ADD to All
Email/SMS Automation	Skill	Marketing Automation	50.0	70.0	120.0	Automated email and SMS flows for e-commerce, lifecycle and retention marketing.	ADD to All
Marketing Support	Skill	Marketing Operations	85.0	80.0	165.0	Support for marketing activities, material preparation, administration and operations.	ADD to All
Funnel Instrumentation	Skill	Measurement	80.0	90.0	170.0	Implementing measurement for funnel steps, events, conversions and marketing-stack signals.	ADD to All
Goal Tracking	Skill	Measurement	90.0	90.0	180.0	Defining, setting up and monitoring goals or conversions in GA, GA4, GTM and ad platforms.	ADD to All
Incrementality Testing	Skill	Measurement	45.0	75.0	120.0	Evaluating the true incremental impact of campaigns, channels or experiments.	ADD to All
Offline Conversion Tracking	Skill	Measurement	85.0	95.0	180.0	Tracking offline conversions and importing lead or sales quality back into Google Ads or CRM reporting.	ADD to All
Attribution	Skill	Measurement / Analytics	82.0	91.0	173.0	Attribution capability used in performance marketing, analytics, automation, reporting or operations.	ADD to All
Brand Lift	Skill	Measurement / Analytics	81.0	90.0	171.0	Brand Lift capability used in performance marketing, analytics, automation, reporting or operations.	ADD to All
Conversion Lift	Skill	Measurement / Analytics	81.0	90.0	171.0	Conversion Lift capability used in performance marketing, analytics, automation, reporting or operations.	ADD to All
Full Funnel	Skill	Measurement / Analytics	82.0	91.0	173.0	Full Funnel capability used in performance marketing, analytics, automation, reporting or operations.	ADD to All
Funnel Analytics	Skill	Measurement / Analytics	81.0	89.0	170.0	Funnel Analytics capability used in performance marketing, analytics, automation, reporting or operations.	ADD to All
Funnel Strategy	Skill	Measurement / Analytics	81.0	89.0	170.0	Funnel Strategy capability used in performance marketing, analytics, automation, reporting or operations.	ADD to All
Growth Analytics	Skill	Measurement / Analytics	81.0	87.0	168.0	Growth Analytics capability used in performance marketing, analytics, automation, reporting or operations.	ADD to All
Incrementality	Skill	Measurement / Analytics	81.0	89.0	170.0	Incrementality capability used in performance marketing, analytics, automation, reporting or operations.	ADD to All
Marketing Analytics	Skill	Measurement / Analytics	81.0	87.0	168.0	Marketing Analytics capability used in performance marketing, analytics, automation, reporting or operations.	ADD to All
Measurement	Skill	Measurement / Analytics	81.0	88.0	169.0	Measurement capability used in performance marketing, analytics, automation, reporting or operations.	ADD to All
Search Lift	Skill	Measurement / Analytics	81.0	90.0	171.0	Search Lift capability used in performance marketing, analytics, automation, reporting or operations.	ADD to All
Real-time Monitoring	Skill	Monitoring	80.0	80.0	160.0	Monitoring events, performance, changes and data signals in real time.	ADD to All
Operations	Skill	Operations	85.0	80.0	165.0	Operational coordination of processes, administration, projects and daily work.	ADD to All
Organization	Skill	Operations	85.0	85.0	170.0	Organizing people, tasks, projects, resources and operating processes.	ADD to All
Regional Operations	Skill	Operations	75.0	65.0	140.0	Managing operational activities, partners and processes in a regional context.	ADD to All
Commercial Operations	Skill	Operations / Revenue	65.0	75.0	140.0	Connecting marketing, sales, revenue, budgets, dashboards and commercial processes.	ADD to All
Implementation	Skill	Operations / Role Signal	61.0	67.0	128.0	Implementation capability used in performance marketing, analytics, automation, reporting or operations.	ADD to All
Leadership	Skill	Operations / Role Signal	61.0	68.0	129.0	Leadership capability used in performance marketing, analytics, automation, reporting or operations.	ADD to All
Marketing Ops	Skill	Operations / Role Signal	61.0	67.0	128.0	Marketing Ops capability used in performance marketing, analytics, automation, reporting or operations.	ADD to All
Project Management	Skill	Operations / Role Signal	61.0	67.0	128.0	Project Management capability used in performance marketing, analytics, automation, reporting or operations.	ADD to All
Optimization	Skill	Optimization	90.0	85.0	175.0	Broad optimization of campaigns, landing pages, budgets, processes and workflows.	ADD to All
Local Services Ads	Skill	Paid Media	77.0	86.0	163.0	Local Services Ads capability used in performance marketing, analytics, automation, reporting or operations.	ADD to All
Paid Acquisition	Skill	Paid Media	79.0	89.0	168.0	Paid Acquisition capability used in performance marketing, analytics, automation, reporting or operations.	ADD to All
Paid Media	Skill	Paid Media	83.0	93.0	176.0	Paid Media capability used in performance marketing, analytics, automation, reporting or operations.	ADD to All
Programmatic	Skill	Paid Media	77.0	85.0	162.0	Programmatic capability used in performance marketing, analytics, automation, reporting or operations.	ADD to All
Social Ads	Skill	Paid Media	76.0	82.0	158.0	Social Ads capability used in performance marketing, analytics, automation, reporting or operations.	ADD to All
Paid Social	Skill	Paid Social	75.0	75.0	150.0	Paid social advertising across platforms such as Meta, LinkedIn, TikTok, Reddit or Pinterest.	ADD to All
Paid Social Leadership	Skill	Paid Social / Leadership	55.0	60.0	115.0	Leading paid social strategy, testing, playbooks and optimization across platforms.	ADD to All
Acquisition	Skill	Performance Marketing	77.0	91.0	168.0	Acquisition capability used in performance marketing, analytics, automation, reporting or operations.	ADD to All
Campaign Execution	Skill	Performance Marketing	76.0	87.0	163.0	Campaign Execution capability used in performance marketing, analytics, automation, reporting or operations.	ADD to All
Campaign Management	Skill	Performance Marketing	95.0	95.0	190.0	Creating, launching, managing and optimizing campaigns end-to-end.	ADD to All
Campaign Monitoring	Skill	Performance Marketing	90.0	90.0	180.0	Continuous monitoring of campaigns, budgets, clicks, conversions, anomalies and trends.	ADD to All
Campaign Operations	Skill	Performance Marketing	76.0	87.0	163.0	Campaign Operations capability used in performance marketing, analytics, automation, reporting or operations.	ADD to All
Campaign Optimization	Skill	Performance Marketing	95.0	95.0	190.0	Optimizing campaigns through tests, bid and budget changes, targeting, structure and performance analysis.	ADD to All
Creative Testing	Skill	Performance Marketing	76.0	89.0	165.0	Creative Testing capability used in performance marketing, analytics, automation, reporting or operations.	ADD to All
Digital Campaigns	Skill	Performance Marketing	76.0	87.0	163.0	Digital Campaigns capability used in performance marketing, analytics, automation, reporting or operations.	ADD to All
Growth Marketing	Skill	Performance Marketing	81.0	99.0	180.0	Growth Marketing capability used in performance marketing, analytics, automation, reporting or operations.	ADD to All
Integrated Campaigns	Skill	Performance Marketing	76.0	87.0	163.0	Integrated Campaigns capability used in performance marketing, analytics, automation, reporting or operations.	ADD to All
International Growth	Skill	Performance Marketing	76.0	89.0	165.0	International Growth capability used in performance marketing, analytics, automation, reporting or operations.	ADD to All
Lifecycle	Skill	Performance Marketing	78.0	93.0	171.0	Lifecycle capability used in performance marketing, analytics, automation, reporting or operations.	ADD to All
Lifecycle Automation	Skill	Performance Marketing	76.0	90.0	166.0	Lifecycle Automation capability used in performance marketing, analytics, automation, reporting or operations.	ADD to All
Traffic Growth	Skill	Performance Marketing	76.0	88.0	164.0	Traffic Growth capability used in performance marketing, analytics, automation, reporting or operations.	ADD to All
Go-to-Market (GTM)	Skill	Product Marketing	60.0	75.0	135.0	Go-to-market planning, positioning, launch strategy and product or service activation.	ADD to All
Product Marketing	Skill	Product Marketing	60.0	75.0	135.0	Connecting product value, market needs, messaging, GTM strategy, campaigns and funnel performance.	ADD to All
Client Relations	Skill	Relations	80.0	75.0	155.0	Managing relationships with clients and business stakeholders.	ADD to All
Partner Relations	Skill	Relations	75.0	70.0	145.0	Managing relationships with partners, collaborators and external stakeholders.	ADD to All
Producer Relations	Skill	Relations	75.0	65.0	140.0	Communication and cooperation with producers, suppliers or business partners.	ADD to All
Dashboarding	Skill	Reporting	95.0	95.0	190.0	Building and maintaining dashboards with Looker Studio, Google Sheets, Tableau and similar tools.	ADD to All
Retention Reporting	Skill	Reporting / Retention	55.0	70.0	125.0	Reporting on retention metrics, LTV, repeat purchases and lifecycle performance.	ADD to All
On-site SEO	Skill	SEO	85.0	75.0	160.0	On-site optimization of websites and landing pages for relevance, structure and organic search performance.	ADD to All
Sales	Skill	Sales	70.0	60.0	130.0	Sales communication, sales support and customer acquisition work.	ADD to All
Live Sports Data	Skill	Sports Data	70.0	65.0	135.0	Monitoring, processing and entering live sports results and related data.	ADD to All
Sports Results	Skill	Sports Data	70.0	60.0	130.0	Entering, validating and processing sports results and statistics.	ADD to All
Web Maintenance	Skill	Web	75.0	70.0	145.0	Maintaining websites, CMS content, basic structure and technical hygiene.	ADD to All
Web Presence	Skill	Web / Digital Marketing	80.0	75.0	155.0	Developing and maintaining online presence through web, content, SEO/SEM and social channels.	ADD to All
Web Support	Skill	Web / IT Operations	75.0	70.0	145.0	Technical and content support for websites and online projects.	ADD to All
AI SaaS	Industry	Industry / Market	61.0	75.0	136.0	AI SaaS industry or market context relevant for positioning, case studies and role matching.	ADD to All
B2B	Industry	Industry / Market	62.0	76.0	138.0	B2B industry or market context relevant for positioning, case studies and role matching.	ADD to All
B2B SaaS	Industry	Industry / Market	64.0	80.0	144.0	B2B SaaS industry or market context relevant for positioning, case studies and role matching.	ADD to All
B2B XaaS	Industry	Industry / Market	62.0	77.0	139.0	B2B XaaS industry or market context relevant for positioning, case studies and role matching.	ADD to All
B2B/B2D	Industry	Industry / Market	61.0	74.0	135.0	B2B/B2D industry or market context relevant for positioning, case studies and role matching.	ADD to All
B2C	Industry	Industry / Market	61.0	74.0	135.0	B2C industry or market context relevant for positioning, case studies and role matching.	ADD to All
Crypto	Industry	Industry / Market	61.0	72.0	133.0	Crypto industry or market context relevant for positioning, case studies and role matching.	ADD to All
D2C	Industry	Industry / Market	61.0	74.0	135.0	D2C industry or market context relevant for positioning, case studies and role matching.	ADD to All
DTC	Industry	Industry / Market	61.0	74.0	135.0	DTC industry or market context relevant for positioning, case studies and role matching.	ADD to All
Enterprise Tech	Industry	Industry / Market	61.0	73.0	134.0	Enterprise Tech industry or market context relevant for positioning, case studies and role matching.	ADD to All
Finance Niche	Industry	Industry / Market	61.0	73.0	134.0	Finance Niche industry or market context relevant for positioning, case studies and role matching.	ADD to All
Fintech	Industry	Industry / Market	63.0	77.0	140.0	Fintech industry or market context relevant for positioning, case studies and role matching.	ADD to All
Gaming Marketplace	Industry	Industry / Market	63.0	79.0	142.0	Gaming Marketplace industry or market context relevant for positioning, case studies and role matching.	ADD to All
Health/Beauty	Industry	Industry / Market	61.0	74.0	135.0	Health/Beauty industry or market context relevant for positioning, case studies and role matching.	ADD to All
Political Campaigns	Industry	Industry / Market	62.0	74.0	136.0	Political Campaigns industry or market context relevant for positioning, case studies and role matching.	ADD to All
SaaS	Industry	Industry / Market	61.0	73.0	134.0	SaaS industry or market context relevant for positioning, case studies and role matching.	ADD to All
Subscriptions	Industry	Industry / Market	61.0	75.0	136.0	Subscriptions industry or market context relevant for positioning, case studies and role matching.	ADD to All
Sports Magazine	Industry	Media	60.0	45.0	105.0	Experience in a sports media or magazine production environment.	ADD to All
Retail/FMCG	Industry	Retail / FMCG	80.0	65.0	145.0	Experience with retail and fast-moving consumer goods clients or market contexts.	ADD to All
EverAI AI + Performance Positioning Block	Case Study	AI / Performance Marketing	95.0	95.0	190.0	### Reusable positioning Senior performance marketer, not a junior profile, but interested in roles where performance marketing meets AI products, fast iteration, creative testing,	ADD to All
AI Early Adopter Workflow	Case Study	AI / Daily Workflow	95.0	95.0	190.0	### Reusable proof Early adopter of new technology. Uses ChatGPT Pro for 2+ years and works daily with ChatGPT, Claude AI, Claude Code and Google Gemini for research, documentation	ADD to All
Client GPT Bots for PPC Reporting Automation	Case Study	AI / Client Delivery	100.0	100.0	185.0	### Reusable proof For clients, develops custom GPT-based assistants and workflows using their premium ChatGPT setup, primarily for PPC, reporting, automation, campaign documentati	ADD to All
Job Search Bot Application Automation	Case Study	AI / Recruiting Automation	100.0	100.0	180.0	### Reusable proof This job was found by a specialized job-search bot built for PPC/performance/AI roles. After identifying a fit, the workflow researches the employer, checks appl	ADD to All
ŠulerBot OPG AI Assistant	Case Study	AI / Agriculture / Grants	100.0	100.0	165.0	### Reusable proof ŠulerBot: https://chatgpt.com/g/g-9ylA6mAQc-sulerbot — assistant for the family agriculture business. Helps with OPG context, planning, administration and EU pro	ADD to All
Dragovoljac-Bot Club Administration Assistant	Case Study	AI / Sports Administration	100.0	100.0	165.0	### Reusable proof Dragovoljac-Bot: https://chatgpt.com/g/g-E17Xjtzdc-dragovoljac-bot — AI assistant for a small bocce club where Dario acts as president/organizer; supports paperw	ADD to All
Darths GPT Darts Club and County Association Assistant	Case Study	AI / Sports Organization	100.0	100.0	170.0	### Reusable proof Darth's GPT: https://chatgpt.com/g/g-Vwy5gOVxB-darth-s-gpt — AI assistant for a darts bar/club ecosystem and the county darts association with 100+ members; supp	ADD to All
Claude Code Scrapers Market Research Tools	Case Study	AI / Development / Research	100.0	100.0	165.0	### Reusable proof Uses Claude Code to build scrapers and market-research tools for upcoming projects, connecting AI-assisted coding with practical data collection, monitoring and 	ADD to All
ChatGPT Codex VS Code Web Development	Case Study	AI / Web Development	100.0	100.0	165.0	### Reusable proof Uses ChatGPT Codex together with Visual Studio Code to develop and maintain websites, landing pages and small web projects, especially where content, HTML/CSS, a	ADD to All
Adaxa News Codex Server Case Study	Case Study	AI / Web Operations	100.0	100.0	170.0	### Reusable proof Testing Codex workflows that operate directly on the server to create and maintain scripts for adaxa.agency/adaxa-news. This is a practical case study of AI-assi	ADD to All
