Bing Search	Skill	General	Bing Search capability used in performance marketing, analytics, automation, reporting or operations.	51	64	115	Microsoft Advertising / Bing Ads			Bing Search capability used in performance marketing, analytics, automation, reporting or operations.	Alias/similar tag; suggested canonical mapping: Microsoft Advertising / Bing Ads. | Work/Found Positions signal: 1x, avg fit 88.	
Reporting Decks	Skill	General	Reporting Decks capability used in performance marketing, analytics, automation, reporting or operations.	51	64	115	Report Delivery			Reporting Decks capability used in performance marketing, analytics, automation, reporting or operations.	Alias/similar tag; suggested canonical mapping: Report Delivery. | Work/Found Positions signal: 1x, avg fit 90.	
SEM	Skill	General	SEM capability used in performance marketing, analytics, automation, reporting or operations.	51	64	115	Search Engine Marketing (SEM)			SEM capability used in performance marketing, analytics, automation, reporting or operations.	Alias/similar tag; suggested canonical mapping: Search Engine Marketing (SEM). | Work/Found Positions signal: 1x, avg fit 88.	
UTM Tracking	Skill	General	UTM Tracking capability used in performance marketing, analytics, automation, reporting or operations.	51	64	115	UTM Management			UTM Tracking capability used in performance marketing, analytics, automation, reporting or operations.	Alias/similar tag; suggested canonical mapping: UTM Management. | Work/Found Positions signal: 1x, avg fit 88.	
TikTok	Skill	General	TikTok capability used in performance marketing, analytics, automation, reporting or operations.	51	62	113	TikTok Ads			TikTok capability used in performance marketing, analytics, automation, reporting or operations.	Alias/similar tag; suggested canonical mapping: TikTok Ads. | Work/Found Positions signal: 1x, avg fit 78.	
Paid Advertising	Skill	Paid Media	Paid Advertising capability used in performance marketing, analytics, automation, reporting or operations.	76	83	159	Paid Media			Paid Advertising capability used in performance marketing, analytics, automation, reporting or operations.	Alias/similar tag; suggested canonical mapping: Paid Media. | Work/Found Positions signal: 1x, avg fit 84.	
Campaign Structure	Skill	Performance Marketing	Campaign Structure capability used in performance marketing, analytics, automation, reporting or operations.	77	92	169	Account Restructuring			Campaign Structure capability used in performance marketing, analytics, automation, reporting or operations.	Alias/similar tag; suggested canonical mapping: Account Restructuring. | Work/Found Positions signal: 2x, avg fit 94.	
LLM Optimization	Skill	Performance Marketing	LLM Optimization capability used in performance marketing, analytics, automation, reporting or operations.	77	91	168	LEO (LLM Engine Optimization)			LLM Optimization capability used in performance marketing, analytics, automation, reporting or operations.	Alias/similar tag; suggested canonical mapping: LEO (LLM Engine Optimization). | Work/Found Positions signal: 2x, avg fit 90.	
Demand Gen	Skill	Performance Marketing	Demand Gen capability used in performance marketing, analytics, automation, reporting or operations.	76	90	166	Demand Generation			Demand Gen capability used in performance marketing, analytics, automation, reporting or operations.	Alias/similar tag; suggested canonical mapping: Demand Generation. | Work/Found Positions signal: 1x, avg fit 97.	
Campaign QA	Skill	Performance Marketing	Campaign QA capability used in performance marketing, analytics, automation, reporting or operations.	76	87	163	Campaign Auditing			Campaign QA capability used in performance marketing, analytics, automation, reporting or operations.	Alias/similar tag; suggested canonical mapping: Campaign Auditing. | Work/Found Positions signal: 1x, avg fit 62.	
SEO/SEM	Skill	SEO	SEO/SEM capability used in performance marketing, analytics, automation, reporting or operations.	76	72	148	Search Engine Marketing (SEM)			SEO/SEM capability used in performance marketing, analytics, automation, reporting or operations.	Alias/similar tag; suggested canonical mapping: Search Engine Marketing (SEM). | Work/Found Positions signal: 1x, avg fit 74.	
Google Ad Manager	Platform	Ads Platform	Google Ad Manager advertising platform or inventory source relevant to paid media planning and campaign execution.	76	82	158	NEW WORK TAG				Novi tag iz Work/Found Positions. | Work/Found Positions signal: 1x, avg fit 76.	
Google Ads Adjacent	Platform	Ads Platform	Google Ads Adjacent advertising platform or inventory source relevant to paid media planning and campaign execution.	76	82	158	NEW WORK TAG				Novi tag iz Work/Found Positions. | Work/Found Positions signal: 1x, avg fit 72.	
Shopify	Platform	E-commerce Platform	E-commerce platform for online stores, product catalogues, checkout and marketing integrations.	35	65	100	NEW TAG				New logical tag proposal for All.	
Teletext	Platform	Media	Legacy media system for publishing news, schedules and live sports results.	70	35	105	NEW TAG				New logical tag proposal for All.	
Salesforce	Tool	Marketing / Analytics Tool	Salesforce tool used in marketing operations, analytics, automation, reporting or sales workflows.	76	89	165	NEW WORK TAG				Novi tag iz Work/Found Positions. | Work/Found Positions signal: 1x, avg fit 91.	
Clay	Tool	Marketing Automation Tool	Clay tool used in marketing operations, analytics, automation, reporting or sales workflows.	66	92	158	NEW WORK TAG				Novi tag iz Work/Found Positions. | Work/Found Positions signal: 1x, avg fit 82.	
Zapier	Tool	Marketing Automation Tool	Zapier tool used in marketing operations, analytics, automation, reporting or sales workflows.	67	96	163	NEW WORK TAG				Novi tag iz Work/Found Positions. | Work/Found Positions signal: 2x, avg fit 90.	
Pipeline Contribution	Metric	B2B Growth Metric	Contribution of campaigns to qualified leads, sales pipeline and downstream revenue opportunities.	65	85	150	NEW TAG				New logical tag proposal for All.	
LTV	Metric	Customer Value Metric	Lifetime value metric used in acquisition, retention and profitability analysis.	70	80	150	NEW TAG				New logical tag proposal for All.	
Budget Allocation	Metric	Growth / Performance Metric	Budget Allocation metric used to evaluate marketing, acquisition, growth, revenue or campaign performance.	76	88	164	NEW WORK TAG				Novi tag iz Work/Found Positions. | Work/Found Positions signal: 1x, avg fit 86.	
CAC/CPA	Metric	Growth / Performance Metric	CAC/CPA metric used to evaluate marketing, acquisition, growth, revenue or campaign performance.	76	89	165	NEW WORK TAG				Novi tag iz Work/Found Positions. | Work/Found Positions signal: 1x, avg fit 88.	
CAC/ROAS	Metric	Growth / Performance Metric	CAC/ROAS metric used to evaluate marketing, acquisition, growth, revenue or campaign performance.	76	90	166	NEW WORK TAG				Novi tag iz Work/Found Positions. | Work/Found Positions signal: 1x, avg fit 94.	
Pipeline	Metric	Growth / Performance Metric	Pipeline metric used to evaluate marketing, acquisition, growth, revenue or campaign performance.	79	95	174	NEW WORK TAG				Novi tag iz Work/Found Positions. | Work/Found Positions signal: 4x, avg fit 92.	
Revenue Growth	Metric	Growth / Performance Metric	Revenue Growth metric used to evaluate marketing, acquisition, growth, revenue or campaign performance.	76	88	164	NEW WORK TAG				Novi tag iz Work/Found Positions. | Work/Found Positions signal: 1x, avg fit 86.	
Revenue Ownership	Metric	Growth / Performance Metric	Revenue Ownership metric used to evaluate marketing, acquisition, growth, revenue or campaign performance.	76	90	166	NEW WORK TAG				Novi tag iz Work/Found Positions. | Work/Found Positions signal: 1x, avg fit 93.	
LTV/CAC	Metric	Growth Metric	Ratio between lifetime value and customer acquisition cost used to assess growth efficiency.	65	80	145	NEW TAG				New logical tag proposal for All.	
AI Apps	Skill	AI / Automation	AI Apps capability used in performance marketing, analytics, automation, reporting or operations.	66	92	158	NEW WORK TAG				Novi tag iz Work/Found Positions. | Work/Found Positions signal: 1x, avg fit 74.	
AI Automation	Skill	AI / Automation	AI Automation capability used in performance marketing, analytics, automation, reporting or operations.	66	95	161	NEW WORK TAG				Novi tag iz Work/Found Positions. | Work/Found Positions signal: 1x, avg fit 96.	
AI Marketing	Skill	AI / Automation	AI Marketing capability used in performance marketing, analytics, automation, reporting or operations.	70	100	170	NEW WORK TAG				Novi tag iz Work/Found Positions. | Work/Found Positions signal: 5x, avg fit 90.	
AI Processes	Skill	AI / Automation	AI Processes capability used in performance marketing, analytics, automation, reporting or operations.	66	93	159	NEW WORK TAG				Novi tag iz Work/Found Positions. | Work/Found Positions signal: 1x, avg fit 86.	
AI/Data	Skill	AI / Automation	AI/Data capability used in performance marketing, analytics, automation, reporting or operations.	66	93	159	NEW WORK TAG				Novi tag iz Work/Found Positions. | Work/Found Positions signal: 1x, avg fit 86.	
GTM Automation	Skill	AI / Automation	GTM Automation capability used in performance marketing, analytics, automation, reporting or operations.	66	92	158	NEW WORK TAG				Novi tag iz Work/Found Positions. | Work/Found Positions signal: 1x, avg fit 82.	
Account Management	Skill	Account Management	Managing client accounts, communication, expectations, reporting and ongoing delivery.	90	85	175	NEW TAG				New logical tag proposal for All.	
Client Management	Skill	Account Management	Managing client relationships, communication, expectations, reporting and operational alignment.	90	85	175	NEW TAG				New logical tag proposal for All.	
Audience Analytics	Skill	Analytics	Analysis of audiences, segments, behaviour, traffic sources and user patterns.	85	80	165	NEW TAG				New logical tag proposal for All.	
Performance Analysis	Skill	Analytics	Analysis of campaign, channel, funnel, budget, conversion and business performance.	95	95	190	NEW TAG				New logical tag proposal for All.	
Lead Quality Analysis	Skill	B2B Lead Generation	Analysis of lead quality using CRM data, Google Sheets, conversion signals and sales feedback.	85	95	180	NEW TAG				New logical tag proposal for All.	
B2B Lead Generation	Skill	B2B Marketing	B2B lead generation through paid search, landing pages, tracking and sales-quality feedback loops.	80	90	170	NEW TAG				New logical tag proposal for All.	
Revenue Dashboards	Skill	BI / Reporting	Dashboards for revenue, CAC, ROAS, budgets, pipeline, commercial results and performance trends.	85	90	175	NEW TAG				New logical tag proposal for All.	
CRM Analysis	Skill	CRM / Analytics	Analysis of CRM data to connect campaigns, leads, pipeline and acquisition quality.	75	85	160	NEW TAG				New logical tag proposal for All.	
Landing Page CRO	Skill	CRO	Landing page analysis and optimization to improve conversion rate and lead or sales quality.	85	90	175	NEW TAG				New logical tag proposal for All.	
Content Coordination	Skill	Content	Coordinating content planning, editorial tasks, publishing schedules and digital channels.	75	70	145	NEW TAG				New logical tag proposal for All.	
Tech Blogging	Skill	Content	Writing and editing technology, digital marketing or web-related blog content.	70	65	135	NEW TAG				New logical tag proposal for All.	
Advertorials	Skill	Creative / Content	Advertorials capability used in performance marketing, analytics, automation, reporting or operations.	61	64	125	NEW WORK TAG				Novi tag iz Work/Found Positions. | Work/Found Positions signal: 1x, avg fit 91.	
Content	Skill	Creative / Content	Content capability used in performance marketing, analytics, automation, reporting or operations.	61	63	124	NEW WORK TAG				Novi tag iz Work/Found Positions. | Work/Found Positions signal: 1x, avg fit 86.	
Content Operations	Skill	Creative / Content	Content Operations capability used in performance marketing, analytics, automation, reporting or operations.	61	62	123	NEW WORK TAG				Novi tag iz Work/Found Positions. | Work/Found Positions signal: 1x, avg fit 68.	
Creative Marketing	Skill	Creative / Content	Creative Marketing capability used in performance marketing, analytics, automation, reporting or operations.	61	62	123	NEW WORK TAG				Novi tag iz Work/Found Positions. | Work/Found Positions signal: 1x, avg fit 72.	
Performance Creative	Skill	Creative / Content	Performance Creative capability used in performance marketing, analytics, automation, reporting or operations.	61	64	125	NEW WORK TAG				Novi tag iz Work/Found Positions. | Work/Found Positions signal: 1x, avg fit 90.	
UX Creative	Skill	Creative / Content	UX Creative capability used in performance marketing, analytics, automation, reporting or operations.	61	62	123	NEW WORK TAG				Novi tag iz Work/Found Positions. | Work/Found Positions signal: 1x, avg fit 72.	
Customer Communication	Skill	Customer Service	Communication with customers, users and communities through digital and direct channels.	80	75	155	NEW TAG				New logical tag proposal for All.	
Customer Support	Skill	Customer Service	Providing customer support, handling inquiries and resolving operational issues.	65	55	120	NEW TAG				New logical tag proposal for All.	
Front Desk	Skill	Customer Service	Front desk work, first-contact communication with customers and basic administration.	60	40	100	NEW TAG				New logical tag proposal for All.	
Data Entry	Skill	Data Operations	Accurate and structured data entry into systems, spreadsheets and databases.	70	55	125	NEW TAG				New logical tag proposal for All.	
Data Processing	Skill	Data Operations	Processing, cleaning, entering, structuring and preparing data for analysis or reporting.	75	80	155	NEW TAG				New logical tag proposal for All.	
Information Processing	Skill	Data Operations	Processing, classifying, validating and structuring large volumes of information.	75	75	150	NEW TAG				New logical tag proposal for All.	
Demand Generation	Skill	Demand Generation	Creating demand through campaigns, content, funnels, tracking and lead or pipeline metrics.	70	75	145	NEW TAG				New logical tag proposal for All. | Work/Found Positions signal: 2x, avg fit 84.	
Digital Channels	Skill	Digital Marketing	Managing digital channels such as websites, social media, blogs, email and advertising channels.	75	75	150	NEW TAG				New logical tag proposal for All.	
E-commerce Lifecycle	Skill	E-commerce / Lifecycle	E-commerce lifecycle work across acquisition, conversion, retention, LTV and automation.	55	70	125	NEW TAG				New logical tag proposal for All.	
Education	Skill	Education	Educational activities, knowledge transfer, training content and structured learning support.	70	65	135	NEW TAG				New logical tag proposal for All.	
Lecturing	Skill	Education	Teaching and knowledge sharing through lectures, workshops or structured educational sessions.	70	70	140	NEW TAG				New logical tag proposal for All.	
Training	Skill	Education	Running trainings, onboarding sessions and educational materials for users, clients or teams.	70	70	140	NEW TAG				New logical tag proposal for All.	
SONY Service	Skill	Electronics / Service	Experience in an authorized service environment related to Sony products and customer support.	50	30	80	NEW TAG				New logical tag proposal for All.	
Experimentation	Skill	Experimentation	Planning and running marketing experiments across campaigns, creative, landing pages and funnels.	80	85	165	NEW TAG				New logical tag proposal for All. | Work/Found Positions signal: 2x, avg fit 89.	
Accounting	Skill	Finance	Basic accounting and finance-administration activities used in small business operations.	60	40	100	NEW TAG				New logical tag proposal for All.	
CRM Integration	Skill	General	CRM Integration capability used in performance marketing, analytics, automation, reporting or operations.	52	66	118	NEW WORK TAG				Novi tag iz Work/Found Positions. | Work/Found Positions signal: 2x, avg fit 92.	
Call Tracking	Skill	General	Call Tracking capability used in performance marketing, analytics, automation, reporting or operations.	51	64	115	NEW WORK TAG				Novi tag iz Work/Found Positions. | Work/Found Positions signal: 1x, avg fit 91.	
Digital Media	Skill	General	Digital Media capability used in performance marketing, analytics, automation, reporting or operations.	51	62	113	NEW WORK TAG				Novi tag iz Work/Found Positions. | Work/Found Positions signal: 1x, avg fit 62.	
Digital Performance	Skill	General	Digital Performance capability used in performance marketing, analytics, automation, reporting or operations.	51	64	115	NEW WORK TAG				Novi tag iz Work/Found Positions. | Work/Found Positions signal: 1x, avg fit 90.	
Global Media Planning	Skill	General	Global Media Planning capability used in performance marketing, analytics, automation, reporting or operations.	51	63	114	NEW WORK TAG				Novi tag iz Work/Found Positions. | Work/Found Positions signal: 1x, avg fit 86.	
Marketing	Skill	General	Marketing capability used in performance marketing, analytics, automation, reporting or operations.	51	62	113	NEW WORK TAG				Novi tag iz Work/Found Positions. | Work/Found Positions signal: 1x, avg fit 72.	
Marketing Engineering	Skill	General	Marketing Engineering capability used in performance marketing, analytics, automation, reporting or operations.	51	62	113	NEW WORK TAG				Novi tag iz Work/Found Positions. | Work/Found Positions signal: 1x, avg fit 82.	
Mobile Apps	Skill	General	Mobile Apps capability used in performance marketing, analytics, automation, reporting or operations.	52	66	118	NEW WORK TAG				Novi tag iz Work/Found Positions. | Work/Found Positions signal: 2x, avg fit 90.	
Performance Marketing	Skill	General	Performance Marketing capability used in performance marketing, analytics, automation, reporting or operations.	58	74	132	NEW WORK TAG				Novi tag iz Work/Found Positions. | Work/Found Positions signal: 10x, avg fit 92.	
Performance Media	Skill	General	Performance Media capability used in performance marketing, analytics, automation, reporting or operations.	51	62	113	NEW WORK TAG				Novi tag iz Work/Found Positions. | Work/Found Positions signal: 1x, avg fit 82.	
SEM Lead	Skill	General	SEM Lead capability used in performance marketing, analytics, automation, reporting or operations.	51	65	116	NEW WORK TAG				Novi tag iz Work/Found Positions. | Work/Found Positions signal: 1x, avg fit 93.	
Technical Product	Skill	General	Technical Product capability used in performance marketing, analytics, automation, reporting or operations.	51	64	115	NEW WORK TAG				Novi tag iz Work/Found Positions. | Work/Found Positions signal: 1x, avg fit 88.	
UTM Governance	Skill	General	UTM Governance capability used in performance marketing, analytics, automation, reporting or operations.	52	67	119	NEW WORK TAG				Novi tag iz Work/Found Positions. | Work/Found Positions signal: 2x, avg fit 94.	
Market Expansion	Skill	Growth Marketing	Analysis and execution of expansion into new markets, segments, regions or channels.	60	70	130	NEW TAG				New logical tag proposal for All.	
Healthcare IT	Skill	Healthcare IT	IT systems and implementation work in healthcare or pharmacy environments.	70	55	125	NEW TAG				New logical tag proposal for All.	
e-Recepti	Skill	Healthcare IT	Experience with healthcare e-prescription systems and related operational workflows.	70	45	115	NEW TAG				New logical tag proposal for All.	
IT Administration	Skill	IT Operations	Administration of IT systems, users, equipment and operational support processes.	75	60	135	NEW TAG				New logical tag proposal for All.	
IT Support	Skill	IT Operations	Technical support for users, departments, systems and everyday IT operations.	75	60	135	NEW TAG				New logical tag proposal for All.	
System Implementation	Skill	IT Operations	Implementation of new systems, tools and technical solutions inside organizations.	70	65	135	NEW TAG				New logical tag proposal for All.	
Systems Monitoring	Skill	IT Operations	Monitoring system stability, performance, health and operational signals.	70	65	135	NEW TAG				New logical tag proposal for All.	
Systems Support	Skill	IT Operations	Supporting, maintaining and troubleshooting operational systems and tools.	70	60	130	NEW TAG				New logical tag proposal for All.	
Telecom Support	Skill	IT Operations	Support for telecommunication systems, equipment and related operational issues.	70	50	120	NEW TAG				New logical tag proposal for All.	
English	Skill	Language	Professional and daily use of English in work, communication, documentation and reporting.	100	100	200	NEW TAG				New logical tag proposal for All.	
CEO	Skill	Leadership	Small-business leadership, decision-making, operational organization and ownership of outcomes.	80	75	155	NEW TAG				New logical tag proposal for All.	
Founder	Skill	Leadership	Founding and developing own business, digital, community or organizational projects.	85	85	170	NEW TAG				New logical tag proposal for All.	
Email Marketing	Skill	Lifecycle / Retention	Planning and optimizing email marketing communication, automation and lifecycle messages.	60	65	125	NEW TAG				New logical tag proposal for All.	
Lifecycle Marketing	Skill	Lifecycle / Retention	Marketing across the customer lifecycle including acquisition, activation, retention and reactivation.	65	75	140	NEW TAG				New logical tag proposal for All.	
SMS Marketing	Skill	Lifecycle / Retention	SMS marketing and lifecycle communication using short-message campaigns and automated flows.	35	45	80	NEW TAG				New logical tag proposal for All.	
Email/SMS Automation	Skill	Marketing Automation	Automated email and SMS flows for e-commerce, lifecycle and retention marketing.	50	70	120	NEW TAG				New logical tag proposal for All.	
Marketing Support	Skill	Marketing Operations	Support for marketing activities, material preparation, administration and operations.	85	80	165	NEW TAG				New logical tag proposal for All.	
Funnel Instrumentation	Skill	Measurement	Implementing measurement for funnel steps, events, conversions and marketing-stack signals.	80	90	170	NEW TAG				New logical tag proposal for All.	
Goal Tracking	Skill	Measurement	Defining, setting up and monitoring goals or conversions in GA, GA4, GTM and ad platforms.	90	90	180	NEW TAG				New logical tag proposal for All.	
Incrementality Testing	Skill	Measurement	Evaluating the true incremental impact of campaigns, channels or experiments.	45	75	120	NEW TAG				New logical tag proposal for All.	
Offline Conversion Tracking	Skill	Measurement	Tracking offline conversions and importing lead or sales quality back into Google Ads or CRM reporting.	85	95	180	NEW TAG				New logical tag proposal for All.	
Attribution	Skill	Measurement / Analytics	Attribution capability used in performance marketing, analytics, automation, reporting or operations.	82	91	173	NEW WORK TAG				Novi tag iz Work/Found Positions. | Work/Found Positions signal: 2x, avg fit 92.	
Brand Lift	Skill	Measurement / Analytics	Brand Lift capability used in performance marketing, analytics, automation, reporting or operations.	81	90	171	NEW WORK TAG				Novi tag iz Work/Found Positions. | Work/Found Positions signal: 1x, avg fit 93.	
Conversion Lift	Skill	Measurement / Analytics	Conversion Lift capability used in performance marketing, analytics, automation, reporting or operations.	81	90	171	NEW WORK TAG				Novi tag iz Work/Found Positions. | Work/Found Positions signal: 1x, avg fit 93.	
Full Funnel	Skill	Measurement / Analytics	Full Funnel capability used in performance marketing, analytics, automation, reporting or operations.	82	91	173	NEW WORK TAG				Novi tag iz Work/Found Positions. | Work/Found Positions signal: 2x, avg fit 90.	
Funnel Analytics	Skill	Measurement / Analytics	Funnel Analytics capability used in performance marketing, analytics, automation, reporting or operations.	81	89	170	NEW WORK TAG				Novi tag iz Work/Found Positions. | Work/Found Positions signal: 1x, avg fit 88.	
Funnel Strategy	Skill	Measurement / Analytics	Funnel Strategy capability used in performance marketing, analytics, automation, reporting or operations.	81	89	170	NEW WORK TAG				Novi tag iz Work/Found Positions. | Work/Found Positions signal: 1x, avg fit 91.	
Growth Analytics	Skill	Measurement / Analytics	Growth Analytics capability used in performance marketing, analytics, automation, reporting or operations.	81	87	168	NEW WORK TAG				Novi tag iz Work/Found Positions. | Work/Found Positions signal: 1x, avg fit 76.	
Incrementality	Skill	Measurement / Analytics	Incrementality capability used in performance marketing, analytics, automation, reporting or operations.	81	89	170	NEW WORK TAG				Novi tag iz Work/Found Positions. | Work/Found Positions signal: 1x, avg fit 88.	
Marketing Analytics	Skill	Measurement / Analytics	Marketing Analytics capability used in performance marketing, analytics, automation, reporting or operations.	81	87	168	NEW WORK TAG				Novi tag iz Work/Found Positions. | Work/Found Positions signal: 1x, avg fit 76.	
Measurement	Skill	Measurement / Analytics	Measurement capability used in performance marketing, analytics, automation, reporting or operations.	81	88	169	NEW WORK TAG				Novi tag iz Work/Found Positions. | Work/Found Positions signal: 1x, avg fit 86.	
Search Lift	Skill	Measurement / Analytics	Search Lift capability used in performance marketing, analytics, automation, reporting or operations.	81	90	171	NEW WORK TAG				Novi tag iz Work/Found Positions. | Work/Found Positions signal: 1x, avg fit 93.	
Real-time Monitoring	Skill	Monitoring	Monitoring events, performance, changes and data signals in real time.	80	80	160	NEW TAG				New logical tag proposal for All.	
Operations	Skill	Operations	Operational coordination of processes, administration, projects and daily work.	85	80	165	NEW TAG				New logical tag proposal for All.	
Organization	Skill	Operations	Organizing people, tasks, projects, resources and operating processes.	85	85	170	NEW TAG				New logical tag proposal for All.	
Regional Operations	Skill	Operations	Managing operational activities, partners and processes in a regional context.	75	65	140	NEW TAG				New logical tag proposal for All.	
Commercial Operations	Skill	Operations / Revenue	Connecting marketing, sales, revenue, budgets, dashboards and commercial processes.	65	75	140	NEW TAG				New logical tag proposal for All.	
Implementation	Skill	Operations / Role Signal	Implementation capability used in performance marketing, analytics, automation, reporting or operations.	61	67	128	NEW WORK TAG				Novi tag iz Work/Found Positions. | Work/Found Positions signal: 1x, avg fit 78.	
Leadership	Skill	Operations / Role Signal	Leadership capability used in performance marketing, analytics, automation, reporting or operations.	61	68	129	NEW WORK TAG				Novi tag iz Work/Found Positions. | Work/Found Positions signal: 1x, avg fit 86.	
Marketing Ops	Skill	Operations / Role Signal	Marketing Ops capability used in performance marketing, analytics, automation, reporting or operations.	61	67	128	NEW WORK TAG				Novi tag iz Work/Found Positions. | Work/Found Positions signal: 1x, avg fit 76.	
Project Management	Skill	Operations / Role Signal	Project Management capability used in performance marketing, analytics, automation, reporting or operations.	61	67	128	NEW WORK TAG				Novi tag iz Work/Found Positions. | Work/Found Positions signal: 1x, avg fit 76.	
Optimization	Skill	Optimization	Broad optimization of campaigns, landing pages, budgets, processes and workflows.	90	85	175	NEW TAG				New logical tag proposal for All. | Work/Found Positions signal: 3x, avg fit 94.	
Local Services Ads	Skill	Paid Media	Local Services Ads capability used in performance marketing, analytics, automation, reporting or operations.	77	86	163	NEW WORK TAG				Novi tag iz Work/Found Positions. | Work/Found Positions signal: 2x, avg fit 92.	
Paid Acquisition	Skill	Paid Media	Paid Acquisition capability used in performance marketing, analytics, automation, reporting or operations.	79	89	168	NEW WORK TAG				Novi tag iz Work/Found Positions. | Work/Found Positions signal: 4x, avg fit 86.	
Paid Media	Skill	Paid Media	Paid Media capability used in performance marketing, analytics, automation, reporting or operations.	83	93	176	NEW WORK TAG				Novi tag iz Work/Found Positions. | Work/Found Positions signal: 10x, avg fit 84.	
Programmatic	Skill	Paid Media	Programmatic capability used in performance marketing, analytics, automation, reporting or operations.	77	85	162	NEW WORK TAG				Novi tag iz Work/Found Positions. | Work/Found Positions signal: 2x, avg fit 83.	
Social Ads	Skill	Paid Media	Social Ads capability used in performance marketing, analytics, automation, reporting or operations.	76	82	158	NEW WORK TAG				Novi tag iz Work/Found Positions. | Work/Found Positions signal: 1x, avg fit 78.	
Paid Social	Skill	Paid Social	Paid social advertising across platforms such as Meta, LinkedIn, TikTok, Reddit or Pinterest.	75	75	150	NEW TAG				New logical tag proposal for All. | Work/Found Positions signal: 3x, avg fit 92.	
Paid Social Leadership	Skill	Paid Social / Leadership	Leading paid social strategy, testing, playbooks and optimization across platforms.	55	60	115	NEW TAG				New logical tag proposal for All.	
Acquisition	Skill	Performance Marketing	Acquisition capability used in performance marketing, analytics, automation, reporting or operations.	77	91	168	NEW WORK TAG				Novi tag iz Work/Found Positions. | Work/Found Positions signal: 2x, avg fit 90.	
Campaign Execution	Skill	Performance Marketing	Campaign Execution capability used in performance marketing, analytics, automation, reporting or operations.	76	87	163	NEW WORK TAG				Novi tag iz Work/Found Positions. | Work/Found Positions signal: 1x, avg fit 78.	
Campaign Management	Skill	Performance Marketing	Creating, launching, managing and optimizing campaigns end-to-end.	95	95	190	NEW TAG				New logical tag proposal for All. | Work/Found Positions signal: 2x, avg fit 79.	
Campaign Monitoring	Skill	Performance Marketing	Continuous monitoring of campaigns, budgets, clicks, conversions, anomalies and trends.	90	90	180	NEW TAG				New logical tag proposal for All.	
